Title	Item Type	Publication Year	Author.x	Publication Title	1st_author_origin	study_city	study_country	spatial_scale	type_of_analysis	disciplinary_focus	component	paradigm	dev_author_country	dev_sc	Author	Tema.central	Por.qué.no.se.incluye.	Información.extra	
Assesment of PM10 pollution episodes in a ceramic cluster (NE Spain): Proposal of a new quality index for PM10, As, Cd, Ni and Pb	journalArticle	2012	"Vicente, A. B.; Sanfeliu, T.; Jordan, M. M."	JOURNAL OF ENVIRONMENTAL MANAGEMENT	Spain	Castellon	Spain	c-	qt	e	a	in	1	1	NA	NA	NA	NA	
Assessing the urban water balance: the Urban Water Flow Model and its application in Cyprus	journalArticle	2012	"Charalambous, Katerina; Bruggeman, Adriana; Lange, Manfred A."	WATER SCIENCE AND TECHNOLOGY	Cyprus	Limassol	Cyprus	c	qt	se	ah	of	1	1	NA	NA	NA	NA	
Assessing urban flooding vulnerability with an emergy approach	journalArticle	2015	"Chang, Li-Fang; Huang, Shu-Li"	LANDSCAPE AND URBAN PLANNING	Taiwan	review	Taiwan	review	m	se	ah	of	2	2	NA	NA	NA	NA	
Assessment of Beach Access Paths on Dune Vegetation: Diversity, Abundance, and Cover	journalArticle	2015	"Purvis, Kelly Grant; Gramling, Joel M.; Murren, Courtney J."	JOURNAL OF COASTAL RESEARCH	USA	Isle of Palms	USA	c-	qt	e	a	in	1	1	NA	NA	NA	NA	
Assessment of the influence of traffic-related particles in urban dust using sequential selective extraction and oral bioaccessibility tests	journalArticle	2015	"Patinha, C.; Duraes, N.; Sousa, P.; Dias, A. C.; Reis, A. P.; Noack, Y.; Ferreira da Silva, E."	ENVIRONMENTAL GEOCHEMISTRY AND HEALTH	Portugal	Estarreja	Portugal	c	qt	e	a	in	1	1	NA	NA	NA	NA	
Atmospheric particle dry deposition of major ions to the South Atlantic coastal area observed at Baia de Todos os Santos, Brazil	journalArticle	2014	"Mkoma, Stelyus L.; da Rocha, Gisele O.; Domingos, Jose S. S.; Santos, Joao V. S.; Cardoso, Manuela P.; da Silva, Rogerio L.; de Andrade, Jailson B."	ANAIS DA ACADEMIA BRASILEIRA DE CIENCIAS	Brazil	Salvador	Brazil	c-	qt	e	a	in	2	2	NA	NA	NA	NA	
Benzene and toluene in New Zealand air	journalArticle	1996	"Clarkson, TS; Martin, RJ; Rudolph, J; Graham, BWL"	ATMOSPHERIC ENVIRONMENT	New Zealand	Wellington	New Zealand	c+	qt	e	a	in	1	1	NA	NA	NA	NA	
Bioclimatic comfort and the thermal perceptions and preferences of beach tourists	journalArticle	2015	"Rutty, Michelle; Scott, Daniel"	INTERNATIONAL JOURNAL OF BIOMETEOROLOGY	Canada	Barbados, Sant Lucia, Tobago	Barbados, Sant Lucia, Tobago	c-	qt	se	ah	of	1	1	NA	NA	NA	NA	
Blue carbon in human-dominated estuarine and shallow coastal systems	journalArticle	2016	"Kuwae, Tomohiro; Kanda, Jota; Kubo, Atsushi; Nakajima, Fumiyuki; Ogawa, Hiroshi; Sohma, Akio; Suzumura, Masahiro"	AMBIO	Japan	review	review	c-	qt	e	a	in	1	2	NA	NA	NA	NA	
Brain cholinesterase reactivation as a marker of exposure to anticholinesterase pesticides: a case study in a population of yellow-legged gull Larus michahellis (Naumann, 1840) along the northern coast of Portugal	journalArticle	2016	"Santos, Catia S. A.; Monteiro, Marta S.; Soares, Amadeu M. V. M.; Loureiro, Susana"	ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH	Portugal	Porto	Portugal	c-	qt	e	ab	in	1	1	NA	NA	NA	NA	
Carbonaceous aerosol in urban and rural European atmospheres: estimation of secondary organic carbon concentrations	journalArticle	1999	"Castro, LM; Pio, CA; Harrison, RM; Smith, DJT"	ATMOSPHERIC ENVIRONMENT	Portugal	Aveiro	Portugal	c	qt	e	a	in	1	1	NA	NA	NA	NA	
Challenges and Benefits in the Design of Coastal Walking and Cycling Amenities: Toward a More Integrated Coastal Management Approach	journalArticle	2015	"Farrell, Myles; Cooper, Andrew; Yates, Katherine"	COASTAL MANAGEMENT	UK	Dublin	Ireland	c-	ql	ep	ah	for	1	1	NA	NA	NA	NA	
Characterisation of particle mass and number concentration on the east coast of the Malaysian Peninsula during the northeast monsoon	journalArticle	2015	"Dominick, Doreena; Latif, Mohd Talib; Juneng, Liew; Khan, Md Firoz; Amil, Norhaniza; Mead, Mohammed Iqbal; Nadzir, Mohd Shahrul Mohd; Moi, Phang Siew; Abu Samah, Azizan; Ashfold, Matthew J.; Sturges, William T.; Harris, Neil R. P.; Robinson, Andrew D.; Pyle, John A."	ATMOSPHERIC ENVIRONMENT	Malaysia	Bachok	Malaysia	c-	qt	e	a	in	2	2	NA	NA	NA	NA	
Characteristics and sources of atmospheric mercury speciation in a coastal city, Xiamen, China	journalArticle	2015	"Xu, Lingling; Chen, Jinsheng; Yang, Liming; Niu, Zhenchuan; Tong, Lei; Yin, Liqian; Chen, Yanting"	CHEMOSPHERE	China	Xiamen	China	c	qt	e	a	in	2	2	NA	NA	NA	NA	
Characteristics of formation and growth of atmospheric nanoparticles observed at four regional background sites in Korea	journalArticle	2016	"Kim, Yumi; Kim, Sang-Woo; Yoon, Soon-Chang; Park, Jin-Soo; Lim, Jae-Hyun; Hong, Jihyung; Lim, Han-Cheol; Ryu, Jegyu; Lee, Chul-Kyu; Heo, Bok-Haeng"	ATMOSPHERIC RESEARCH	Korea	Incheon	Korea	c-	qt	e	a	in	1	1	NA	NA	NA	NA	
Characterization of PM Using Multiple Site Data in a Heavily Industrialized Region of Turkey	journalArticle	2015	"Kara, Melik; Hopke, Philip K.; Dumanoglu, Yetkin; Altiok, Hasan; Elbir, Tolga; Odabasi, Mustafa; Bayram, Abdurrahman"	AEROSOL AND AIR QUALITY RESEARCH	Turkey	Aliaga	Turkey	c	qt	e	a	in	1	1	NA	NA	NA	NA	
Chemical characterization and source apportionment of size-segregated aerosol collected at an urban site in sicily	journalArticle	2007	"Rinaldi, M.; Emblico, L.; Decesari, S.; Fuzzi, S.; Facchini, M. C.; Librando, V."	WATER AIR AND SOIL POLLUTION	Italy	Catania	Italy	c	qt	e	a	in	1	1	NA	NA	NA	NA	
Chemical characterization of dew water collected in different geographic regions of Poland	journalArticle	2008	"Polkowska, Zaneta; Blas, Marek; Klimaszewska, Kamila; Sobik, Mieczyslaw; Malek, Stanislaw; Namiesnik, Jacek"	SENSORS	Poland	Gdansk	Poland	c-	qt	e	a	in	2	2	NA	NA	NA	NA	
Chemical composition and sources of particle pollution in affluent and poor neighborhoods of Accra, Ghana	journalArticle	2013	"Zhou, Zheng; Dionisio, Kathie L.; Verissimo, Thiago G.; Kerr, Americo S.; Coull, Brent; Arku, Raphael E.; Koutrakis, Petros; Spengler, John D.; Hughes, Allison F.; Vallarino, Jose; Agyei-Mensah, Samuel; Ezzati, Majid"	ENVIRONMENTAL RESEARCH LETTERS	USA	Accra	Ghana	c	qt	e	a	in	1	2	NA	NA	NA	NA	
Climate change impacts and human settlements in Africa: Prospects for adaptation	journalArticle	2000	Magadza, CHD	ENVIRONMENTAL MONITORING AND ASSESSMENT	Zimbabwe	review	review	c+	ql	cm	ah	of	2	2	NA	NA	NA	NA	
Coastal Cities and Environmental Change	journalArticle	2014	Mosley, Stephen	ENVIRONMENT AND HISTORY	UK	review	review	c	o	ep	ah	for	1	2	NA	NA	NA	NA	
Coastal flooding, climate change and environmental justice: identifying obstacles and incentives for adaptation in two metropolitan Boston Massachusetts communities	journalArticle	2012	"Douglas, Ellen M.; Kirshen, Paul H.; Paolisso, Michael; Watson, Chris; Wiggin, Jack; Enrici, Ashley; Ruth, Matthias"	MITIGATION AND ADAPTATION STRATEGIES FOR GLOBAL CHANGE	USA	Boston	USA	c-	m	se	ah	of	1	1	NA	NA	NA	NA	
Coastal geomorphological change monitoring by remote sensing techniques in Nouakchott, Mauritania	conferencePaper	2003	"Wu, WC; Courel, MF; Le Rhun, J"	REMOTE SENSING FOR ENVIRONMENTAL MONITORING, GIS APPLICATIONS, AND GEOLOGY II	France	Nouakchott	Mauritania	c	qt	e	a	in	1	2	NA	NA	NA	NA	
Coastline evolution monitoring and estimation - a case study in the region of Nouakchott, Mauritania	journalArticle	2007	Wu, W.	INTERNATIONAL JOURNAL OF REMOTE SENSING	France	Nouakchott	Mauritania	c	qt	e	a	in	1	2	NA	NA	NA	NA	
Columnar aerosol properties in Valencia (Spain) by ground-based Sun photometry	journalArticle	2007	"Estelles, Victor; Martinez-Lozano, Jose A.; Utrillas, Maria P.; Campanelli, Monica"	JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES	Spain	Valencia	Spain	c	qt	e	a	in	1	1	NA	NA	NA	NA	
Complementary methods to plan pedestrian evacuation of the French Riviera's beaches in case of tsunami threat: graph- and multi-agent-based modelling	journalArticle	2013	"Sahal, A.; Leone, F.; Peroche, M."	NATURAL HAZARDS AND EARTH SYSTEM SCIENCES	France	Mandelieu	France	c	m	se	ah	of	1	1	NA	NA	NA	NA	
Conclusions to the special volume of science of the total environment concerning UK fluxes to the North Sea, Land Ocean Interaction Study river basins research, the first two years	journalArticle	1997	"Neal, C; House, WA; Jarvie, HP; Leeks, GJL; Marker, AH"	SCIENCE OF THE TOTAL ENVIRONMENT	UK	review	UK	c+	o	se	ah	of	1	1	NA	NA	NA	NA	
Conservation Investment for Rare Plants in Urban Environments	journalArticle	2013	"Schwartz, Mark W.; Smith, Lacy M.; Steel, Zachary L."	PLOS ONE	USA	San Francisco	USA	c-	qt	ep	bh	for	1	1	NA	NA	NA	NA	
